Year_Type,Year,Employee_Identifier,Salaries,Overtime,Other_Salaries,Total_Salary,Retirement,Health/Dental,Other_Benefits,Total_Benefits,Total_Compensation
Calendar,2013,33222,68627.22,4749.8,2126.23,75503.25,19100.45,13903.68,5616.3,38620.43,114123.68
Fiscal,2015,51735,62497.95,0,7719.13,70217.08,2375.26,0,553.41,2928.67,73145.75
Fiscal,2015,49345,129206.96,15667.78,1371.08,146245.82,28348.07,12500.56,9962.89,50811.52,197057.34
Calendar,2014,3085,92283.45,0,0,92283.45,20210.41,12000.51,15309.68,47520.6,139804.05
Fiscal,2015,10102,87376,3924.09,0,91300.09,19240.25,11734.24,1473.5,32447.99,123748.08
Fiscal,2016,23453,27995.16,7689.11,271.27,35955.54,6215.81,12157.48,2680.6,21053.89,57009.43
Fiscal,2013,34956,50807.95,0,250,51057.95,10522.29,12556.77,4176.02,27255.08,78313.03
Fiscal,2014,46540,35367.98,5917.61,4470.41,45756,9481.74,10078.59,3303.71,22864.04,68620.04
Calendar,2015,34522,41540.8,0,0,41540.8,0,5352.09,3220.27,8572.36,50113.16
Fiscal,2016,23893,83181.3,132.12,8978.13,92291.55,17150.93,13068.8,7366.88,37586.61,129878.16
Calendar,2015,38174,59552.95,14875.56,3126.54,77555.05,17363.4,11743.97,5869.26,34976.63,112531.68
Calendar,2014,14925,67509.65,0,5000.41,72510.06,15196.57,9346.76,854.4,25397.73,97907.79
Fiscal,2013,28398,49953.43,973.77,533.62,51460.82,9193.68,10970.52,4335.48,24499.68,75960.5
Fiscal,2015,37993,109323.3,3187.66,0,112510.96,24521.17,12500.56,9192.23,46213.96,158724.92
Fiscal,2016,34027,122368.8,0,0,122368.8,10683.82,12420.36,5971.05,29075.23,151444.03
Fiscal,2013,5075,47818.9,0,6954.69,54773.59,10967.5,12851.02,4381.41,28199.93,82973.52
Fiscal,2016,30630,58760.4,756.49,2248.78,61765.67,12223.92,12071.19,4903.52,29198.63,90964.3
Fiscal,2015,3150,142449.9,748.76,3978.89,147177.55,33096.41,12500.56,10372.29,55969.26,203146.81
Calendar,2015,22822,18325,0,0,18325,0,4300.79,1472.77,5773.56,24098.56
Calendar,2013,765,12891.43,0,263.22,13154.65,0,4572.23,1018.44,5590.67,18745.32
Fiscal,2013,29038,3810.97,0,2.7,3813.67,0,1390.96,295.26,1686.22,5499.89
Fiscal,2013,26577,77011.91,3048.3,5433.68,85493.89,15013.35,11195.43,6895.61,33104.39,118598.28
Calendar,2013,17858,95405.01,13860.52,8482.28,117747.81,19862.16,12918.24,1969.82,34750.22,152498.03
Fiscal,2015,32799,103651.31,0,0,103651.31,23248.96,12500.55,8545.62,44295.13,147946.44
Fiscal,2016,46968,78771.9,0,1585,80356.9,14931.2,13034.45,6657.56,34623.21,114980.11
Calendar,2014,6716,81830,35295.23,14004.59,131129.82,19806.29,13054.94,9746.03,42607.26,173737.08
Calendar,2015,42431,55269.93,0,3681.37,58951.3,12183.48,12154.27,4822.32,29160.07,88111.37
Fiscal,2014,85,64285.99,20364.44,1388.76,86039.19,18844.29,13050.14,6738.04,38632.47,124671.66
